ranking,score,movie_name,score_num
1,9.6,肖申克的救赎,904966
2,9.5,霸王别姬,652220
3,9.4,这个杀手不太冷,861183
4,9.4,阿甘正传,732855
5,9.5,美丽人生,427872
6,9.2,千与千寻,683577
7,9.4,辛德勒的名单,393574
8,9.2,泰坦尼克号,673982
9,9.2,盗梦空间,783295
10,9.3,机器人总动员,511104
11,9.2,海上钢琴师,612820
12,9.1,三傻大闹宝莱坞,692995
13,9.2,忠犬八公的故事,470347
14,9.2,放牛班的春天,465558
15,9.2,大话西游之大圣娶亲,503331
16,9.2,教父,352970
17,9.1,龙猫,429717
18,9.1,楚门的世界,470767
19,9.2,乱世佳人,277393
20,9.1,天堂电影院,316358
21,9.1,触不可及,375510
22,8.9,当幸福来敲门,552832
23,9.2,熔炉,263018
24,9.0,无间道,411470
25,9.0,搏击俱乐部,411654
26,9.4,十二怒汉,175862
27,9.1,星际穿越,499159
28,8.9,怦然心动,563965
29,9.1,指环王3：王者无敌,290829
30,9.0,少年派的奇幻漂流,591220
31,9.0,天空之城,340339
32,9.2,鬼子来了,234626
33,9.0,蝙蝠侠：黑暗骑士,329510
34,8.9,罗马假日,393716
35,9.1,活着,274559
36,8.9,大话西游之月光宝盒,406366
37,9.0,两杆大烟枪,278414
38,8.9,飞屋环游记,506935
39,9.1,窃听风暴,227703
40,9.0,飞越疯人院,282163
41,9.3,海豚湾,184321
42,8.9,闻香识女人,327432
43,8.8,V字仇杀队,423862
44,8.9,哈尔的移动城堡,355526
45,9.6,控方证人,91077
46,9.1,教父2,190034
47,8.9,美丽心灵,309224
48,8.9,指环王2：双塔奇兵,274206
49,8.9,死亡诗社,282158
50,8.9,指环王1：魔戒再现,306548
51,8.8,情书,380264
52,9.1,辩护人,207976
53,8.7,天使爱美丽,487320
54,9.1,美国往事,177233
55,9.0,饮食男女,200899
56,9.0,钢琴家,204993
57,9.2,疯狂动物城,503600
58,8.9,狮子王,284536
59,8.7,七宗罪,439595
60,8.9,被嫌弃的松子的一生,286294
61,8.8,致命魔术,347021
62,9.2,小鞋子,138244
63,8.8,勇敢的心,297528
64,8.7,剪刀手爱德华,487607
65,8.9,音乐之声,233525
66,8.8,低俗小说,336927
67,9.1,素媛,178927
68,8.7,本杰明·巴顿奇事,396069
69,8.8,黑客帝国,282580
70,8.7,沉默的羔羊,355302
71,8.8,入殓师,320362
72,8.9,拯救大兵瑞恩,238769
73,8.7,西西里的美丽传说,349735
74,8.9,玛丽和马克思,233073
